rainfall_mm_hr,soil_moisture_pct,tilt_deg,vegetation_change_pct,satellite_risk_index,landslide_next_6h
98.71,88.35,6.9,6.18,0.983,1
4.44,14.19,2.33,1.81,0.08,0
44.72,44.47,7.05,26.46,0.697,1
5.84,41.22,5.84,12.25,0.614,1
13.11,46.08,6.39,13.63,0.67,0
81.04,44.41,5.32,8.65,0.809,1
85.59,59.77,6.77,30.07,0.953,1
92.85,83.08,7.94,10.41,1.0,1
103.85,77.83,3.36,7.36,0.762,1
88.73,67.27,6.51,10.82,1.0,1
96.1,65.63,5.96,7.11,0.849,1
5.88,23.04,3.62,11.12,0.289,0
28.14,41.12,7.42,2.9,0.547,0
74.63,55.55,3.16,5.55,0.745,1
102.98,70.83,4.52,14.6,0.946,1
0.54,26.19,0.85,30.78,0.0,0
61.76,44.65,1.81,2.01,0.551,1
81.27,67.96,6.73,7.44,0.979,1
3.55,61.57,3.17,31.79,0.403,0
48.16,25.35,3.15,31.15,0.439,0
107.48,77.25,1.97,23.78,1.0,1
80.59,52.14,3.93,8.42,0.771,0
28.52,44.76,6.45,14.69,0.602,1
102.33,71.61,7.16,7.39,1.0,1
41.76,52.94,0.56,4.5,0.451,0
102.4,85.19,4.6,13.3,0.872,1
35.87,43.45,3.74,20.15,0.181,0
70.84,70.46,4.91,12.6,0.728,1
47.63,18.3,3.58,21.38,0.534,0
32.98,58.93,3.19,10.37,0.447,0
106.39,77.37,3.78,12.1,1.0,1
22.51,48.06,4.66,27.67,0.477,0
10.18,14.94,4.01,30.74,0.416,0
41.03,33.49,3.78,11.27,0.432,0
86.12,65.5,6.54,20.0,0.967,1
96.89,68.4,5.97,9.74,1.0,1
119.85,82.33,2.73,1.87,1.0,1
35.56,54.02,6.4,25.83,0.409,0
48.95,25.85,6.83,5.99,0.549,1
16.42,44.07,1.23,14.9,0.38,0
68.98,56.14,4.66,17.05,0.904,0
119.71,76.42,2.28,6.46,0.973,1
84.11,45.19,5.91,3.31,0.773,1
71.43,63.18,1.91,12.18,0.735,1
47.08,17.22,5.37,33.33,0.612,1
109.84,82.21,2.04,21.53,0.862,0
59.63,33.93,4.09,13.35,0.614,0
16.12,32.9,7.59,1.36,0.636,0
43.85,43.3,3.05,21.01,0.712,1
8.06,42.66,7.01,3.23,0.552,0
24.24,33.76,7.9,18.99,0.555,0
2.12,17.62,7.0,26.32,0.343,0
54.39,43.4,1.33,14.83,0.537,1
76.14,74.54,6.56,10.48,0.878,1
41.2,49.97,0.26,1.66,0.406,0
50.45,43.07,3.15,0.87,0.395,0
115.11,73.96,6.97,15.05,1.0,1
90.24,46.8,5.51,30.92,0.691,1
64.9,58.87,4.26,8.54,0.639,1
34.14,19.25,3.1,20.09,0.371,0
107.64,82.46,6.5,23.95,1.0,1
28.21,39.24,5.68,2.13,0.448,1
39.04,71.21,3.75,5.36,0.503,0
109.09,60.89,7.14,11.59,0.968,1
63.55,52.36,1.84,23.45,0.765,1
89.08,86.66,1.36,15.37,0.451,1
70.89,71.2,5.14,25.7,0.677,0
78.41,51.93,7.78,30.37,1.0,1
35.93,43.85,1.98,26.54,0.476,0
28.96,38.06,2.0,34.73,0.219,0
38.7,45.8,1.12,26.4,0.386,0
18.65,25.01,6.88,29.83,0.46,1
104.92,71.14,1.81,29.13,0.936,1
33.99,21.12,4.03,25.56,0.622,0
67.38,56.94,7.93,28.06,0.89,1
95.04,73.17,0.1,32.71,0.658,0
94.06,64.6,4.45,16.63,0.958,0
52.61,29.29,4.1,22.34,0.441,1
57.15,62.58,6.46,18.02,0.629,1
119.36,83.09,2.84,29.79,0.776,1
80.95,52.72,3.28,15.1,0.524,0
97.76,65.62,1.34,28.69,0.654,1
108.31,55.73,5.93,27.98,0.823,1
94.51,55.22,6.28,33.67,0.945,1
22.22,28.55,1.09,8.71,0.106,0
67.46,70.1,3.15,24.84,0.32,1
12.23,22.83,7.14,26.49,0.298,0
78.35,67.94,0.02,32.77,0.562,1
114.64,70.13,2.39,31.74,0.83,1
61.53,55.66,4.44,20.07,0.853,0
51.96,46.68,2.67,20.27,0.449,0
4.3,37.41,2.18,5.86,0.339,0
115.17,70.41,3.68,34.12,0.955,1
12.36,11.69,1.45,8.93,0.154,0
4.93,10.63,4.24,25.37,0.129,0
29.53,31.91,5.65,27.85,0.473,0
7.86,13.55,4.6,15.44,0.177,0
54.61,54.5,0.74,7.39,0.505,0
61.93,47.28,6.76,6.61,0.709,0
37.51,70.37,1.4,29.98,0.365,1
6.12,6.9,6.12,17.88,0.417,0
13.39,33.47,2.88,3.15,0.345,0
46.14,32.23,6.26,25.1,0.535,0
7.26,22.35,1.65,8.76,0.194,0
83.78,64.4,1.49,30.67,0.683,1
24.84,8.27,3.98,10.84,0.207,0
36.25,44.15,0.26,7.01,0.347,0
47.3,69.12,1.8,2.97,0.464,0
49.99,42.06,5.79,17.9,0.508,1
0.2,28.21,6.7,15.78,0.168,1
13.45,43.35,0.65,26.3,0.195,0
103.53,69.62,7.06,16.26,1.0,1
0.15,18.1,6.38,12.03,0.233,0
60.98,25.13,6.96,9.16,0.969,0
58.74,59.12,5.59,9.74,0.821,0
39.97,41.63,5.39,32.47,0.711,1
51.76,36.14,4.2,5.78,0.643,1
93.67,68.67,5.22,34.59,1.0,1
100.94,63.42,7.35,11.44,0.916,1
31.24,32.72,0.8,3.09,0.0,0
38.7,49.69,2.53,8.7,0.407,0
29.1,22.03,0.58,2.04,0.309,0
57.58,63.48,7.56,27.65,0.82,1
81.99,45.12,3.56,17.94,0.736,1
27.39,29.37,5.4,11.79,0.609,0
39.69,65.94,6.73,23.17,0.733,0
111.65,88.77,7.93,22.07,1.0,1
5.83,28.79,1.29,32.9,0.064,0
55.29,38.6,6.4,33.64,0.53,1
85.39,57.07,7.1,23.82,1.0,1
18.05,34.0,0.39,28.62,0.231,0
5.68,28.01,6.03,27.73,0.288,0
16.58,31.37,2.84,17.2,0.226,0
110.26,74.25,5.19,24.66,0.928,1
1.11,22.93,4.11,2.74,0.161,0
22.6,17.87,2.08,26.53,0.102,0
3.75,20.49,1.08,33.66,0.0,0
13.28,41.95,0.94,2.97,0.22,0
74.42,42.07,0.83,29.26,0.474,0
29.0,35.77,5.1,32.65,0.601,0
68.31,45.9,2.81,7.92,0.642,1
70.82,58.21,1.73,18.37,0.649,0
101.93,66.21,5.54,32.48,0.863,1
0.57,42.98,5.49,33.61,0.351,0
102.4,77.16,4.31,4.48,0.985,1
74.29,42.69,7.48,12.22,0.899,1
19.53,41.84,3.08,24.44,0.349,0
92.75,57.44,6.69,7.75,1.0,1
102.66,64.27,0.6,11.37,0.753,1
30.51,42.5,5.92,0.82,0.626,1
110.26,68.71,7.91,5.37,1.0,1
54.53,60.25,6.77,19.68,0.527,1
72.41,48.29,4.64,22.86,0.741,1
118.16,70.74,5.01,22.71,1.0,1
43.38,36.65,2.83,27.24,0.521,0
97.58,62.12,5.44,14.53,0.963,1
38.21,55.38,6.16,9.57,0.58,0
95.91,75.7,7.99,0.55,0.954,1
72.09,77.96,3.94,7.23,0.844,1
25.96,63.89,0.49,10.93,0.414,0
49.68,34.99,4.77,6.24,0.488,0
38.12,43.0,0.95,0.71,0.505,0
9.37,15.1,1.96,5.51,0.07,0
3.58,17.28,2.63,23.31,0.111,0
41.58,36.15,5.85,22.04,0.759,1
2.28,13.34,1.47,32.75,0.219,0
19.86,21.31,1.33,27.94,0.18,0
87.02,62.43,0.36,19.87,0.692,1
84.97,48.64,6.99,4.81,0.885,1
88.63,74.99,5.55,19.74,0.586,1
38.06,31.11,0.32,2.16,0.198,0
106.8,100.0,0.23,15.08,0.87,1
71.26,51.65,4.47,13.66,0.664,1
15.12,32.67,2.26,14.97,0.305,0
17.25,17.22,4.77,9.79,0.47,0
83.17,82.9,3.48,24.0,0.793,1
20.75,47.77,7.39,29.43,0.432,0
60.88,55.96,2.3,26.9,0.622,1
119.01,62.39,5.43,21.97,0.981,0
0.48,27.74,0.43,18.84,0.093,0
1.99,12.44,7.65,1.09,0.322,0
119.17,96.17,7.85,25.3,1.0,1
70.16,66.28,5.91,19.07,0.539,1
15.23,33.0,3.72,9.48,0.288,0
107.68,44.22,1.76,11.47,0.756,1
105.65,60.74,6.5,32.75,0.897,1
64.34,62.21,5.89,21.85,0.873,1
74.62,73.13,1.78,16.66,0.785,1
32.78,53.06,3.61,21.73,0.479,0
6.06,8.62,3.7,14.48,0.175,0
71.35,60.73,6.61,16.46,0.81,1
35.37,53.1,5.47,10.16,0.56,1
79.63,40.94,5.15,15.39,0.731,1
100.35,70.06,5.2,24.0,0.921,1
2.18,29.27,2.16,1.4,0.225,0
71.49,53.56,2.97,27.83,0.745,0
27.75,15.26,0.37,9.9,0.057,0
104.87,68.28,6.3,23.89,0.878,1
30.44,34.77,3.46,22.5,0.197,0
73.29,56.2,3.51,22.84,0.798,1
66.42,48.13,1.96,21.28,0.601,0
47.54,41.08,1.68,33.57,0.502,0
81.31,61.12,4.7,17.79,0.627,1
87.09,69.5,1.86,25.63,0.956,1
68.03,51.96,0.51,24.69,0.461,0
91.01,61.04,6.14,8.27,0.924,1
118.01,79.21,3.01,9.92,1.0,1
50.31,24.59,3.04,14.84,0.337,0
61.75,58.51,3.45,9.72,0.576,0
1.5,25.67,6.52,12.84,0.375,0
95.52,68.46,2.57,13.68,1.0,1
62.43,64.62,6.06,21.14,0.806,0
48.96,23.6,7.52,7.7,0.817,0
11.29,6.39,5.29,28.15,0.434,0
106.76,76.33,3.45,15.31,0.971,1
47.4,46.24,5.98,24.72,0.512,0
81.91,63.9,3.66,2.85,0.896,0
17.92,27.52,3.32,16.45,0.134,0
115.39,84.9,4.2,0.99,1.0,0
21.41,45.83,2.54,23.66,0.385,0
23.95,41.58,0.83,12.03,0.0,0
103.08,68.26,3.32,33.22,0.835,1
109.51,48.99,0.99,11.34,0.829,1
25.46,45.69,3.28,19.73,0.382,0
56.38,65.03,4.46,9.01,0.763,1
88.02,72.34,7.45,21.7,0.877,1
105.4,61.88,0.29,16.35,0.588,1
45.49,53.55,4.97,12.97,0.596,0
62.04,63.25,3.66,7.13,0.671,0
89.01,83.76,0.16,3.9,0.689,1
87.74,53.97,2.0,4.2,0.846,1
93.96,64.56,0.95,34.97,0.621,0
68.39,64.74,1.73,14.43,0.665,1
12.55,31.34,2.2,0.07,0.263,0
108.48,60.41,3.21,33.35,0.685,1
103.87,76.72,4.23,0.7,0.786,1
95.77,75.04,0.01,14.65,0.731,1
11.98,31.45,1.29,25.11,0.454,0
24.53,38.67,0.75,32.01,0.351,1
89.23,62.05,4.4,24.95,0.622,1
2.78,43.99,2.63,16.23,0.0,0
117.51,67.07,4.39,34.11,1.0,1
45.26,38.32,1.77,1.38,0.413,0
86.32,63.97,0.19,34.54,0.79,1
106.51,83.48,7.53,29.73,1.0,1
47.36,28.34,0.87,32.51,0.408,0
38.3,26.51,1.01,8.92,0.422,0
73.05,33.42,1.17,4.99,0.47,0
69.72,56.77,7.85,23.22,0.801,1
49.1,33.67,4.94,18.06,0.558,0
72.21,52.88,4.88,18.31,0.798,0
112.25,83.45,7.89,32.36,1.0,1
56.12,42.55,0.71,21.7,0.568,0
23.61,38.4,7.8,10.89,0.502,0
45.26,41.78,1.63,14.0,0.271,0
47.29,54.35,4.98,4.67,0.854,0
15.73,37.78,3.36,6.73,0.266,0
19.54,25.49,3.07,5.02,0.237,0
82.15,59.94,7.45,28.36,0.901,0
40.74,55.86,1.19,24.67,0.446,0
114.59,81.29,7.98,18.56,1.0,1
29.23,21.39,3.03,13.1,0.337,0
11.87,38.21,5.19,23.4,0.39,0
90.42,52.67,7.74,28.45,0.958,1
105.72,89.53,0.46,30.84,0.563,1
33.37,52.31,7.38,19.15,0.862,1
24.25,39.39,4.54,28.7,0.417,0
22.29,36.92,5.64,17.9,0.53,0
62.64,50.68,1.19,16.61,0.365,0
56.21,58.44,4.27,30.29,0.59,0
31.13,34.56,5.39,13.52,0.406,0
5.42,30.27,3.65,13.86,0.45,0
57.78,61.46,1.24,10.67,0.473,0
115.12,70.06,1.95,18.15,0.978,1
78.3,52.84,6.84,19.07,0.763,1
59.46,37.42,0.28,23.12,0.379,0
13.28,18.2,5.67,15.07,0.324,0
30.29,16.69,8.0,7.62,0.681,0
35.37,49.68,0.06,30.34,0.118,0
91.78,88.01,1.29,12.11,0.646,1
105.21,89.45,5.39,32.3,0.806,1
108.2,54.18,0.48,7.26,0.61,1
118.15,86.86,4.72,19.6,0.972,1
117.88,95.11,5.47,18.78,0.932,1
114.36,70.98,4.71,29.0,0.909,1
8.62,30.1,2.92,4.86,0.019,0
16.54,8.35,5.58,31.85,0.211,0
36.54,44.64,4.75,18.6,0.666,0
66.35,42.09,1.66,20.51,0.587,0
11.64,32.63,4.51,17.86,0.37,0
101.5,51.94,7.06,1.26,0.842,1
74.01,64.82,5.33,17.4,0.615,1
65.08,66.58,3.77,9.22,0.562,0
19.84,24.53,2.57,11.99,0.279,0
30.39,25.03,0.69,22.72,0.367,0
19.24,7.78,1.96,17.42,0.309,0
102.23,67.81,0.09,3.26,0.816,1
70.11,49.57,7.89,2.56,0.743,0
88.22,46.08,1.78,6.5,0.669,1
35.52,46.42,6.52,6.68,0.555,0
44.55,39.65,1.35,21.29,0.385,0
48.58,33.95,2.27,6.22,0.691,1
91.2,59.39,3.35,30.86,0.576,0
92.68,79.56,2.6,7.34,0.804,1
24.82,43.4,6.39,3.19,0.67,1
112.98,74.28,7.66,30.65,0.943,1
14.48,38.94,7.0,10.34,0.405,0
107.53,59.46,1.23,14.89,0.722,1
12.05,30.81,6.21,33.57,0.385,0
31.74,41.05,1.18,33.05,0.151,0
101.58,65.07,7.31,25.02,1.0,1
21.54,39.92,4.14,2.41,0.486,0
49.63,37.97,2.69,20.77,0.543,0
53.98,55.41,1.26,34.62,0.4,0
29.43,44.87,0.09,33.14,0.311,0
85.23,28.35,1.98,3.71,0.492,0
102.16,85.26,7.31,13.86,1.0,1
104.95,35.66,6.38,11.04,1.0,1
40.72,35.93,7.76,4.54,0.645,0
63.7,65.97,0.81,24.32,0.428,1
29.81,34.61,4.74,9.58,0.476,1
29.38,20.62,2.06,12.07,0.136,0
19.35,20.58,4.34,3.16,0.195,0
112.8,88.08,2.56,17.43,0.835,1
106.56,49.89,2.27,5.54,0.736,1
93.28,80.53,4.59,15.12,1.0,1
62.12,52.29,1.47,5.02,0.613,1
58.87,37.18,3.75,33.38,0.631,1
63.57,46.61,5.21,5.07,0.55,0
64.39,41.77,1.03,18.27,0.437,0
52.15,58.86,7.44,6.89,0.787,1
15.81,40.9,4.05,2.67,0.302,0
15.08,11.16,6.56,7.08,0.341,0
114.27,71.58,5.23,1.92,1.0,1
57.84,40.67,5.68,4.88,0.61,1
114.38,92.0,5.73,17.27,1.0,1
19.63,17.63,7.0,22.81,0.628,0
66.53,74.19,4.91,3.06,0.756,0
24.93,35.82,2.23,15.44,0.475,0
30.38,24.73,0.8,20.34,0.333,0
3.61,18.5,4.85,8.2,0.098,0
14.27,21.8,0.53,13.02,0.033,0
110.02,59.21,1.93,2.51,0.725,1
38.58,43.5,0.49,7.7,0.255,0
72.98,43.1,4.39,16.34,0.673,1
55.8,23.95,1.28,34.67,0.484,0
48.05,42.07,4.88,34.87,0.726,1
63.83,32.09,6.33,34.29,0.716,0
22.47,26.08,6.58,14.81,0.409,1
118.63,67.48,2.48,2.82,0.667,0
98.2,58.73,4.39,11.33,0.871,1
88.99,89.06,4.5,8.32,0.925,1
56.25,50.99,3.78,0.49,0.624,1
18.35,36.2,5.24,3.33,0.675,1
110.48,53.4,1.68,15.86,0.946,1
40.97,35.59,7.83,11.89,0.731,0
6.01,30.29,0.78,6.31,0.047,0
41.09,31.2,6.63,25.06,0.513,0
95.33,78.8,4.75,12.5,0.918,1
74.73,44.19,1.96,29.82,0.506,0
90.1,62.11,5.97,8.43,0.956,1
95.24,60.82,0.68,18.84,0.749,1
25.43,38.42,6.2,6.44,0.372,1
110.85,67.2,4.72,17.34,1.0,1
52.56,45.4,0.89,5.34,0.462,1
76.68,56.67,0.64,5.66,0.39,0
0.28,16.31,6.01,21.43,0.29,0
119.2,84.46,2.34,9.23,1.0,1
33.71,43.03,7.11,6.03,0.713,0
